,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,ec_gate_depolar_prob
73,73,5.8589199999999995,0.6,3.5153519999999996,1,0,0,0,0.061500000000000034
74,74,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.062000000000000034
75,75,5.858919,0.8,4.6871352,1,0,1,0,0.06250000000000003
76,76,5.858923,0.4,2.3435692,1,1,1,0,0.06300000000000003
77,77,5.8589199999999995,0.7,4.1012439999999994,1,0,0,0,0.06350000000000003
78,78,5.8589199999999995,0.7,4.1012439999999994,1,0,1,1,0.06400000000000003
79,79,5.858917,0.5,2.9294585,0,1,1,0,0.06450000000000003
80,80,5.8589199999999995,0.7,4.1012439999999994,1,0,1,0,0.06500000000000003
81,81,5.8589210000000005,0.4,2.3435684,1,0,0,1,0.06550000000000003
82,82,5.858919,0.5,2.9294595,1,0,1,1,0.06600000000000003
83,83,5.8589199999999995,0.6,3.5153519999999996,1,1,0,0,0.06650000000000003
84,84,5.8589199999999995,0.5,2.9294599999999997,0,1,1,0,0.06700000000000003
85,85,5.858919,0.6,3.5153514,0,0,0,0,0.06750000000000003
86,86,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.06800000000000003
87,87,5.8589210000000005,0.6,3.5153526000000004,1,1,1,1,0.06850000000000003
88,88,5.8589199999999995,0.6,3.5153519999999996,1,1,1,1,0.06900000000000003
89,89,5.858919,0.6,3.5153514,0,1,1,1,0.06950000000000003
90,90,5.8589210000000005,0.7,4.1012447000000005,0,0,1,1,0.07000000000000003
91,91,5.858917,0.7,4.1012419,0,0,0,1,0.07050000000000003
92,92,5.858924,0.5,2.929462,0,1,0,0,0.07100000000000004
93,93,5.858918,0.7,4.1012426,0,0,1,1,0.07150000000000004
94,94,5.858922,0.6,3.5153532,0,1,1,0,0.07200000000000004
95,95,5.8589199999999995,0.7,4.1012439999999994,0,0,0,1,0.07250000000000004
96,96,5.8589210000000005,0.3,1.7576763000000002,1,0,1,1,0.07300000000000004
97,97,5.8589210000000005,0.4,2.3435684,1,0,0,0,0.07350000000000004
98,98,5.8589210000000005,0.7,4.1012447000000005,1,1,1,0,0.07400000000000004
99,99,5.8589210000000005,0.5,2.9294605000000002,0,0,1,0,0.07450000000000004
100,100,5.858922,0.7,4.1012454,0,0,0,0,0.07500000000000004
101,101,5.858918,0.5,2.929459,1,0,1,1,0.07550000000000004
102,102,5.858922,0.5,2.929461,1,1,0,0,0.07600000000000004
103,103,5.858923,0.5,2.9294615,1,0,1,1,0.07650000000000004
104,104,5.8589210000000005,0.4,2.3435684,1,0,0,1,0.07700000000000004
105,105,5.8589210000000005,0.6,3.5153526000000004,1,1,1,0,0.07750000000000004
106,106,5.8589199999999995,0.6,3.5153519999999996,1,1,1,1,0.07800000000000004
107,107,5.8589199999999995,0.6,3.5153519999999996,0,1,1,1,0.07850000000000004
108,108,5.858919,0.4,2.3435676,1,0,1,1,0.07900000000000004
109,109,5.8589199999999995,0.8,4.687136,1,0,0,1,0.07950000000000004
110,110,5.8589210000000005,0.7,4.1012447000000005,0,0,0,0,0.08000000000000004
111,111,5.858919,0.8,4.6871352,1,0,1,0,0.08050000000000004
112,112,5.8589199999999995,0.8,4.687136,1,0,0,1,0.08100000000000004
113,113,5.8589210000000005,0.7,4.1012447000000005,0,0,0,0,0.08150000000000004
