,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,two_qubit_gate_depolar_prob
162,162,12.319199999999999,0.6,7.391519999999999,0,1,1,0,0.16960000000000033
163,163,12.319199999999999,0.9,11.08728,0,1,1,0,0.17040000000000036
164,164,12.319199999999999,0.9,11.08728,1,1,1,0,0.17120000000000035
165,165,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.17200000000000035
166,166,12.319199999999999,0.5,6.159599999999999,0,0,0,0,0.17280000000000037
167,167,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.17360000000000037
168,168,12.319199999999999,0.6,7.391519999999999,0,0,1,0,0.17440000000000036
169,169,12.319199999999999,0.8,9.85536,0,0,0,1,0.17520000000000036
170,170,12.319199999999999,0.6,7.391519999999999,0,1,1,1,0.17600000000000035
171,171,12.319199999999999,0.9,11.08728,1,0,1,1,0.17680000000000037
172,172,12.319199999999999,0.2,2.46384,1,1,0,0,0.17760000000000037
173,173,12.319199999999999,0.4,4.92768,0,0,1,1,0.17840000000000036
174,174,12.319199999999999,0.7,8.623439999999999,0,0,1,0,0.1792000000000004
175,175,12.319199999999999,0.4,4.92768,0,0,0,0,0.18000000000000038
176,176,12.319199999999999,0.8,9.85536,0,1,1,1,0.18080000000000038
177,177,12.319199999999999,0.5,6.159599999999999,1,0,0,0,0.18160000000000037
178,178,12.319199999999999,0.4,4.92768,0,0,1,1,0.18240000000000037
179,179,12.319199999999999,0.7,8.623439999999999,1,0,1,1,0.1832000000000004
180,180,12.319199999999999,0.4,4.92768,1,0,0,1,0.18400000000000039
181,181,12.319199999999999,0.9,11.08728,0,1,1,1,0.18480000000000038
182,182,12.319199999999999,0.5,6.159599999999999,1,0,0,1,0.1856000000000004
183,183,12.319199999999999,0.5,6.159599999999999,1,1,1,0,0.1864000000000004
184,184,12.319199999999999,0.7,8.623439999999999,0,0,0,0,0.1872000000000004
185,185,12.319199999999999,0.6,7.391519999999999,1,1,0,1,0.1880000000000004
186,186,12.319199999999999,0.7,8.623439999999999,1,1,1,1,0.18880000000000038
187,187,12.319199999999999,0.5,6.159599999999999,0,0,1,1,0.1896000000000004
188,188,12.319199999999999,0.8,9.85536,0,0,0,1,0.1904000000000004
189,189,12.319199999999999,0.8,9.85536,1,0,0,0,0.1912000000000004
190,190,12.319199999999999,0.6,7.391519999999999,1,0,0,0,0.19200000000000042
191,191,12.319199999999999,0.6,7.391519999999999,1,0,1,1,0.19280000000000042
192,192,12.319199999999999,0.8,9.85536,0,1,1,0,0.1936000000000004
193,193,12.319199999999999,0.7,8.623439999999999,0,1,0,1,0.1944000000000004
194,194,12.319199999999999,0.9,11.08728,0,0,0,0,0.1952000000000004
195,195,12.319199999999999,0.7,8.623439999999999,0,1,0,0,0.19600000000000042
196,196,12.319199999999999,0.6,7.391519999999999,1,0,0,1,0.19680000000000042
197,197,12.319199999999999,0.6,7.391519999999999,0,1,0,0,0.19760000000000041
198,198,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.19840000000000044
199,199,12.319199999999999,0.4,4.92768,0,0,1,0,0.19920000000000043
