,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,init_time
77,77,12.319199999999999,0.4,4.92768,1,0,1,1,46800.0
78,78,12.319199999999999,0.8,9.85536,1,0,0,0,47200.0
79,79,12.319199999999999,0.8,9.85536,1,0,1,1,47600.0
80,80,12.319199999999999,0.8,9.85536,1,0,1,1,48000.0
81,81,12.319199999999999,0.7,8.623439999999999,1,1,1,0,48400.0
82,82,12.319199999999999,0.7,8.623439999999999,1,1,0,0,48800.0
83,83,12.319199999999999,0.7,8.623439999999999,1,0,1,0,49200.0
84,84,12.319199999999999,0.7,8.623439999999999,0,0,1,1,49600.0
85,85,12.319199999999999,0.5,6.159599999999999,1,0,0,0,50000.0
86,86,12.319199999999999,0.6,7.391519999999999,1,1,0,1,50400.0
87,87,12.319199999999999,0.9,11.08728,0,0,0,1,50800.0
