"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"22","132.6570592486801","168.303434636136","4.668485116083367","-0.31331663183442576","0.03509999999999991","0.034599999999999964","0.0356","1244.4444444444443","0.00023080266591313253","0","0.00023080266591313253","0.00023080266591313253","22_15:0.052234105199302855","22_15:590.2222222222222","true"
"23","147.63742699920044","204.60568630471698","4.75809372458223","-0.31173856129806604","0.048799999999999955","0.04800000000000004","0.0496","1244.4444444444443","0.00019786969873649828","0","0.00019786969873649828","0.00019786969873649828","23_24:0.011222651078082818;23_22:0.0061086378623248505","23_24:533.3333333333333;23_22:533.3333333333333","true"
"24","273.4055560419428","182.74121468452475","4.611448454806462","-0.31354982608399573","0.03420000000000001","0.03539999999999999","0.033","1244.4444444444443","0.00015257776377060943","0","0.00015257776377060943","0.00015257776377060943","","","true"
"25","275.7574435258287","484.2778051107325","4.731645269835475","-0.3122550841543125","0.020999999999999908","0.020399999999999974","0.0216","1244.4444444444443","0.00013710112346920194","0","0.00013710112346920194","0.00013710112346920194","25_24:0.0036198047964901836","25_24:533.3333333333333","true"
"26","313.91342965789704","210.03885206411957","4.777297396817984","-0.31228117808626144","0.0045999999999999375","0.006000000000000005","0.0032","1244.4444444444443","0.00016367193236031292","0","0.00016367193236031292","0.00016367193236031292","26_25:0.003320146418098441;26_16:0.006047994705079995;26_27:0.005912271836283595","26_25:533.3333333333333;26_16:533.3333333333333;26_27:533.3333333333333","true"
"27","311.8090949175248","122.76797236824065","4.6803602306776435","-0.31282791406798793","0.006099999999999994","0.007000000000000006","0.0052","1244.4444444444443","0.0001489671069134621","0","0.0001489671069134621","0.0001489671069134621","","","true"
"28","224.0891940411018","63.00715387307074","4.743985018623886","-0.27186381179166696","0.0343","0.03820000000000001","0.0304","1244.4444444444443","0.0003994973803218588","0","0.0003994973803218588","0.0003994973803218588","28_27:0.007448945764931436","28_27:533.3333333333333","true"
"29","399.1420005165568","191.37774755416623","4.791732162124575","-0.32426284330226407","0.009600000000000053","0.011600000000000055","0.0076","1244.4444444444443","0.00026053682646852005","0","0.00026053682646852005","0.00026053682646852005","29_30:0.005647523326767462;29_28:0.010117497710897039","29_30:533.3333333333333;29_28:533.3333333333333","true"
"30","374.2380173943578","256.91747030880265","4.692900290899958","-0.3126801438234927","0.007600000000000051","0.010600000000000054","0.0046","1244.4444444444443","0.00011150920357903676","0","0.00011150920357903676","0.00011150920357903676","","","true"
"31","234.09280092620688","32.588862320972844","5.057529083520848","-0.3070059221402992","0.014000000000000012","0.01759999999999995","0.0104","1244.4444444444443","0.0005080421488089356","0","0.0005080421488089356","0.0005080421488089356","31_30:0.010477299124054013;31_32:0.005826227624352476","31_30:533.3333333333333;31_32:533.3333333333333","true"
"32","242.41958017888447","338.5830132119057","4.929968620604567","-0.30828223495463736","0.026699999999999946","0.02959999999999996","0.0238","1244.4444444444443","0.0003921460892167217","0","0.0003921460892167217","0.0003921460892167217","32_36:0.0072706701269280305","32_36:533.3333333333333","true"
"33","239.0872612924586","347.77939346568036","4.677511905656563","-0.3137282279838826","0.00990000000000002","0.012399999999999967","0.0074","1244.4444444444443","0.00017610806725692026","0","0.00017610806725692026","0.00017610806725692026","33_39:0.00429182894425173","33_39:533.3333333333333","true"
"34","250.28193454685416","94.04596349999778","4.710723329034998","-0.28769666514137593","0.09319999999999995","0.04379999999999995","0.1426","1244.4444444444443","0.0003151495822085879","0","0.0003151495822085879","0.0003151495822085879","34_24:0.006389096302855862","34_24:533.3333333333333","true"
"35","327.9735335874648","62.58527951152934","4.9145274034418005","-0.30919638014483275","0.010199999999999987","0.011399999999999966","0.009","1244.4444444444443","0.0001380668468275336","0","0.0001380668468275336","0.0001380668468275336","35_47:0.0062387097895107435;35_28:0.010954144766779805","35_47:533.3333333333333;35_28:533.3333333333333","true"
"36","311.1193024242187","57.59108346742729","4.853991940588241","-0.31028310857915326","0.007000000000000006","0.0074","0.00660000000000005","1244.4444444444443","0.00013723325648841626","0","0.00013723325648841626","0.00013723325648841626","36_51:0.004323508837339035","36_51:533.3333333333333","true"
"37","362.76517613006604","206.63278644455576","4.593861816994554","-0.315389846608389","0.013700000000000045","0.017","0.010399999999999965","1244.4444444444443","0.00033097071025684367","0","0.00033097071025684367","0.00033097071025684367","37_38:0.009599329814790891","37_38:533.3333333333333","true"
"38","363.2422613466752","152.36447878492407","4.485857079146745","-0.31593779214327095","0.014499999999999957","0.016000000000000014","0.013","1244.4444444444443","0.00022160974376771175","0","0.00022160974376771175","0.00022160974376771175","38_39:0.011409309640413173","38_39:533.3333333333333","true"
