file,param,value,succ_rate_or_frac0,exec_per_sec,succ_per_sec,num_times,ci_low,ci_high
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,7.0,0.67,6.0289209,4.039377003,100,0.5730516033971139,0.7543701620610456
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,8.0,0.67,6.0989192,4.086275864,100,0.5730516033971139,0.7543701620610456
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,9.0,0.58,6.168919600000001,3.5779733680000003,100,0.48206307998895276,0.672017750814887
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,10.0,0.61,6.2389203,3.805741383,100,0.5120283616749817,0.699832780680298
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,11.0,0.72,6.3089206,4.542422832,100,0.6251178763865427,0.7986044083240164
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,12.0,0.66,6.378919499999999,4.21008687,100,0.5627754565831095,0.74538620502457
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,13.0,0.69,6.4489208,4.449755352,100,0.5937376052204429,0.7722043679386762
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,14.0,0.66,6.518919100000001,4.302486606,100,0.5627754565831095,0.74538620502457
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,15.0,0.57,6.5889199,3.755684343,100,0.4721521169586435,0.6626686099947162
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,0.0,0.53,5.856920199999999,3.104167706,100,0.4328868313724773,0.6248934801789626
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,1.0,0.6,5.8574189,3.51445134,100,0.5020007846184025,0.6906002538863971
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,2.0,0.69,5.8579205000000005,4.041965145,100,0.5937376052204429,0.7722043679386762
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,3.0,0.71,5.85842,4.1594782,100,0.6146092505999207,0.7898529302601586
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,4.0,0.69,5.8589197,4.042654593,100,0.5937376052204429,0.7722043679386762
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,5.0,0.64,5.8594202,3.750028928,100,0.542352199811621,0.7272892540950986
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,6.0,0.66,5.8599212,3.867547992,100,0.5627754565831095,0.74538620502457
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,7.0,0.61,5.860419,3.5748555900000003,100,0.5120283616749817,0.699832780680298
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,8.0,0.65,5.8609195,3.809597675,100,0.5525426042919797,0.7363589534652197
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,9.0,0.65,5.8614197,3.809922805,100,0.5525426042919797,0.7363589534652197
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,10.0,0.67,5.8619201,3.927486467,100,0.5730516033971139,0.7543701620610456
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,11.0,0.61,5.862419099999999,3.576075651,100,0.5120283616749817,0.699832780680298
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,12.0,0.64,5.8629207,3.752269248,100,0.542352199811621,0.7272892540950986
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,13.0,0.58,5.8634195,3.40078331,100,0.48206307998895276,0.672017750814887
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,14.0,0.67,5.8639207,3.928826869,100,0.5730516033971139,0.7543701620610456
20240915-222501_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,15.0,0.59,5.8644191,3.460007269,100,0.4920125056109662,0.6813284290433533
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,0.0,0.63,5.8505198,3.685827474,100,0.5322034757513312,0.7181778743049083
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,1.0,0.75,5.8521194,4.3890895500000005,100,0.6569535362992417,0.8245490599627573
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,2.0,0.7,5.8537206,4.09760442,100,0.6041496156718804,0.7810524613377188
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,3.0,0.63,5.8553195,3.688851285,100,0.5322034757513312,0.7181778743049083
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,4.0,0.59,5.856919,3.45558221,100,0.4920125056109662,0.6813284290433533
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,5.0,0.63,5.858518299999999,3.690866529,100,0.5322034757513312,0.7181778743049083
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,6.0,0.62,5.8601207,3.633274834,100,0.5220957382071033,0.7090255079986562
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,7.0,0.7,5.861719900000001,4.10320393,100,0.6041496156718804,0.7810524613377188
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,8.0,0.61,5.8633195,3.576624895,100,0.5120283616749817,0.699832780680298
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,9.0,0.63,5.8649202,3.694899726,100,0.5322034757513312,0.7181778743049083
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,10.0,0.68,5.86652,3.9892336,100,0.5833719774632081,0.7633098918454312
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,11.0,0.71,5.868119699999999,4.166364987,100,0.6146092505999207,0.7898529302601586
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,12.0,0.59,5.8697199,3.463134741,100,0.4920125056109662,0.6813284290433533
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,13.0,0.62,5.8713199,3.640218338,100,0.5220957382071033,0.7090255079986562
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,14.0,0.62,5.8729199,3.641210338,100,0.5220957382071033,0.7090255079986562
